Date,AXA Money Market Fund Yield
2016-08-01,0.0696
2016-08-02,0.0707
2016-08-03,0.0731
2016-08-04,0.0745
2016-08-05,0.0731
2016-08-06,0.0731
2016-08-07,0.0731
2016-08-08,0.0734
2016-08-09,0.0825
2016-08-10,0.0828
2016-08-11,0.0722
2016-08-12,0.0676
2016-08-13,0.0676
2016-08-14,0.0676
2016-08-15,0.0703
2016-08-16,0.0708
2016-08-17,0.0735
2016-08-18,0.0746
2016-08-19,0.0746
2016-08-20,0.0746
2016-08-21,0.0746
2016-08-22,0.0753
2016-08-23,0.0754
2016-08-24,0.0732
2016-08-25,0.0712
2016-08-26,0.0711
2016-08-27,0.0711
2016-08-28,0.0711
2016-08-29,0.0736
2016-08-30,0.0728
2016-08-31,0.0713
2016-09-01,0.0724
2016-09-02,0.0715
2016-09-03,0.0715
2016-09-04,0.0715
2016-09-05,0.0715
2016-09-06,0.0713
2016-09-07,0.0738
2016-09-08,0.0684
2016-09-09,0.0687
2016-09-10,0.0687
2016-09-11,0.0687
2016-09-12,0.0687
2016-09-13,0.0687
2016-09-14,0.0786
2016-09-15,0.079
2016-09-16,0.0789
2016-09-17,0.0789
2016-09-18,0.0789
2016-09-19,0.0798
2016-09-20,0.0836
2016-09-21,0.0843
2016-09-22,0.0886
2016-09-23,0.089
2016-09-24,0.089
2016-09-25,0.089
2016-09-26,0.0894
2016-09-27,0.0835
2016-09-28,0.0872
2016-09-29,0.0833
2016-09-30,0.0821
2016-10-01,0.0821
2016-10-02,0.0821
2016-10-03,0.0821
2016-10-04,0.098
2016-10-05,0.0983
2016-10-06,0.089
2016-10-07,0.0951
2016-10-08,0.0951
2016-10-09,0.0951
2016-10-10,0.0962
2016-10-11,0.0959
2016-10-12,0.0975
2016-10-13,0.1065
2016-10-14,0.1106
2016-10-15,0.1106
2016-10-16,0.1106
2016-10-17,0.1092
2016-10-18,0.1137
2016-10-19,0.1151
2016-10-20,0.1342
2016-10-21,0.134
2016-10-22,0.134
2016-10-23,0.134
2016-10-24,0.1392
2016-10-25,0.1373
2016-10-26,0.1371
2016-10-27,0.1344
2016-10-28,0.133
2016-10-29,0.133
2016-10-30,0.133
2016-10-31,0.1331
2016-11-01,0.1347
2016-11-02,0.1377
2016-11-03,0.1433
2016-11-04,0.1506
2016-11-05,0.1506
2016-11-06,0.1506
2016-11-07,0.1507
2016-11-08,0.1503
2016-11-09,0.1504
2016-11-10,0.1483
2016-11-11,0.1482
2016-11-12,0.1482
2016-11-13,0.1482
2016-11-14,0.1486
2016-11-15,0.1516
2016-11-16,0.1574
2016-11-17,0.1633
2016-11-18,0.1389
2016-11-19,0.1389
2016-11-20,0.1389
2016-11-21,0.1347
2016-11-22,0.1667
2016-11-23,0.1607
2016-11-24,0.1492
2016-11-25,0.1517
2016-11-26,0.1531
2016-11-27,0.1508
2016-11-28,0.1534
2016-11-29,0.1549
2016-11-30,0.1562
2016-12-01,0.153
2016-12-02,0.1521
2016-12-03,0.1521
2016-12-04,0.1521
2016-12-05,0.1579
2016-12-06,0.1437
2016-12-07,0.1556
2016-12-08,0.1542
2016-12-09,0.1535
2016-12-10,0.1535
2016-12-11,0.1535
2016-12-12,0.1535
2016-12-13,0.153
2016-12-14,0.1495
2016-12-15,0.1563
2016-12-16,0.16
2016-12-17,0.16
2016-12-18,0.16
2016-12-19,0.146
2016-12-20,0.144
2016-12-21,0.151
2016-12-22,0.156
2016-12-23,0.1461
2016-12-24,0.1461
2016-12-25,0.1461
2016-12-26,0.1461
2016-12-27,0.1461
2016-12-28,0.145
2016-12-29,0.1487
2016-12-30,0.1474
2016-12-31,0.1474
2017-01-01,0.1474
2017-01-02,0.1474
2017-01-03,0.1543
2017-01-04,0.1491
2017-01-05,0.1554
2017-01-06,0.1573
2017-01-07,0.1573
2017-01-08,0.1573
2017-01-09,0.1576
2017-01-10,0.157
2017-01-11,0.1543
2017-01-12,0.1535
2017-01-13,0.1551
2017-01-14,0.1551
2017-01-15,0.1551
2017-01-16,0.1591
2017-01-17,0.1577
2017-01-18,0.1611
2017-01-19,0.1577
2017-01-20,0.1629
2017-01-21,0.1629
2017-01-22,0.1628
2017-01-23,0.1574
2017-01-24,0.1622
2017-01-25,0.1635
2017-01-26,0.163
2017-01-27,0.1629
2017-01-28,0.1629
2017-01-29,0.1629
2017-01-30,0.1646
2017-01-31,0.1665
2017-02-01,0.1687
2017-02-02,0.1713
2017-02-03,0.1682
2017-02-04,0.1682
2017-02-05,0.1682
2017-02-06,0.1673
2017-02-07,0.1678
2017-02-08,0.1704
2017-02-09,0.1701
2017-02-10,0.1652
2017-02-11,0.1652
2017-02-12,0.1652
2017-02-13,0.1702
2017-02-14,0.1721
2017-02-15,0.1548
2017-02-16,0.1654
2017-02-17,0.1667
2017-02-18,0.1667
2017-02-19,0.1667
2017-02-20,0.1528
2017-02-21,0.1694
2017-02-22,0.1682
2017-02-23,0.1695
2017-02-24,0.1658
2017-02-25,0.1658
2017-02-26,0.1658
2017-02-27,0.1688
2017-02-28,0.1657
2017-03-01,0.1739
2017-03-02,0.179
2017-03-03,0.1759
2017-03-04,0.1759
2017-03-05,0.1759
2017-03-06,0.1787
2017-03-07,0.178
2017-03-08,0.1779
2017-03-09,0.1785
2017-03-10,0.178
2017-03-11,0.178
2017-03-12,0.178
2017-03-13,0.1757
2017-03-14,0.1771
2017-03-15,0.1787
2017-03-16,0.1794
2017-03-17,0.1761
2017-03-18,0.1761
2017-03-19,0.1761
2017-03-20,0.1743
2017-03-21,0.1744
2017-03-22,0.1772
2017-03-23,0.169
2017-03-24,0.1691
2017-03-25,0.169
2017-03-26,0.169
2017-03-27,0.1744
2017-03-28,0.1716
2017-03-29,0.1712
2017-03-30,0.1674
2017-03-31,0.1651
2017-04-01,0.1655
2017-04-02,0.1655
2017-04-03,0.168
2017-04-04,0.1625
2017-04-05,0.1643
2017-04-06,0.1739
2017-04-07,0.1732
2017-04-08,0.1732
2017-04-09,0.1732
2017-04-10,0.1734
2017-04-11,0.1733
2017-04-12,0.1745
2017-04-13,0.1739
2017-04-14,0.1739
2017-04-15,0.1739
2017-04-16,0.1739
2017-04-17,0.1738
2017-04-18,0.1709
2017-04-19,0.1745
2017-04-20,0.1767
2017-04-21,0.176
2017-04-22,0.176
2017-04-23,0.176
2017-04-24,0.1755
2017-04-25,0.1749
2017-04-26,0.1746
2017-04-27,0.1736
2017-04-28,0.1636
2017-04-29,0.1589
2017-04-30,0.1626
