Date,Stanbic ETF 30,Stanbic Absolute Fund,Stanbic Guaranteed Income Fund,Stanbic Eurobond Fund,FBN Eurobond Fund
2016-08-01,80.43,2265.29,177.09,1,104.5
2016-08-02,80.12,2265.93,177.2,1,104.48
2016-08-03,79.56,2265.52,177.25,1,104.63
2016-08-04,79.82,2266.13,177.28,1,104.76
2016-08-05,79.82,2266.13,177.28,1,104.76
2016-08-06,79.82,2266.13,177.28,1,104.76
2016-08-07,78.88,2266.79,177.28,1,104.76
2016-08-08,78.78,2268.78,177.28,1,104.82
2016-08-09,78.45,2269.46,177.4,1,104.98
2016-08-10,78.92,2269.11,177.44,1,105.06
2016-08-11,78.35,2269.79,177.41,1,105.07
2016-08-12,78.26,2270.45,177.44,1,105.08
2016-08-13,78.26,2270.45,177.44,1,105.08
2016-08-14,78.26,2270.45,177.44,1,105.08
2016-08-15,78.32,2271.3,177.48,1,105.23
2016-08-16,78.67,2272,177.41,1,105.35
2016-08-17,78.86,2272.39,177.46,1,105.31
2016-08-18,78.81,2273.11,177.47,1,105.31
2016-08-19,79.76,2273.82,177.6,1,105.34
2016-08-20,79.76,2273.82,177.6,1,105.34
2016-08-21,79.76,2273.82,177.6,1,105.34
2016-08-22,80.43,2274.92,177.65,1,105.36
2016-08-23,80.81,2275.6,177.6,1,105.38
2016-08-24,81.03,2276.28,177.57,1,105.46
2016-08-25,79.99,2276.85,177.61,1,105.47
2016-08-26,80.07,2277.52,177.63,1,105.69
2016-08-27,80.07,2277.52,177.63,1,105.69
2016-08-28,80.07,2277.52,177.63,1,105.69
2016-08-29,79.75,2278.52,177.67,1,105.71
2016-08-30,79.96,2279.28,177.74,1,105.73
2016-08-31,80.22,2280.08,177.79,1,105.6
2016-09-01,81.86,2280.45,177.85,1,105.59
2016-09-02,80.8,2281.25,177.87,1,105.6
2016-09-03,80.8,2281.25,177.87,1,105.6
2016-09-04,80.8,2281.25,177.87,1,105.6
2016-09-05,80.72,2283.16,177.93,1,105.63
2016-09-06,80.24,2283.97,177.14,1,105.65
2016-09-07,80.34,2284.8,177.19,1,105.71
2016-09-08,80.23,2285.63,177.26,1,105.71
2016-09-09,80.37,2286.16,177.29,1,105.54
2016-09-10,80.37,2286.16,177.29,1,105.54
2016-09-11,80.37,2286.16,177.29,1,105.54
2016-09-12,80.37,2286.16,177.29,1,105.54
2016-09-13,80.37,2286.16,177.29,1,105.54
2016-09-14,80.51,2286.66,177.37,1,105.73
2016-09-15,80.64,2287.33,177.4,1,105.58
2016-09-16,81.11,2288.4,177.47,1,105.52
2016-09-17,81.11,2288.4,177.47,1,105.52
2016-09-18,81.11,2288.4,177.47,1,105.52
2016-09-19,80.98,2290.16,177.55,1,105.54
2016-09-20,81.67,2291.15,177.81,1,105.58
2016-09-21,81.63,2292.22,177.89,1,105.54
2016-09-22,81.79,2293.31,177.97,1,105.88
2016-09-23,81.85,2294.38,178.06,1,105.87
2016-09-24,81.85,2294.38,178.06,1,105.87
2016-09-25,81.85,2294.38,178.06,1,105.87
2016-09-26,81.89,2297.58,178.14,1,105.88
2016-09-27,81.92,2298.05,178.39,1,105.89
2016-09-28,81.98,2299.16,178.49,1,105.64
2016-09-29,81.99,2300.27,178.57,1,105.67
2016-09-30,82.24,2301.38,178.65,1,105.55
2016-10-01,82.24,2301.38,178.65,1,105.55
2016-10-02,82.24,2301.38,178.65,1,105.55
2016-10-03,82.24,2301.38,178.65,1,105.55
2016-10-04,82.06,2305.82,178.74,1,105.75
2016-10-05,81.18,2307.31,179.07,1,105.59
2016-10-06,81.08,2308.42,179.15,1,105.75
2016-10-07,80.32,2309.36,179.23,1,105.71
2016-10-08,80.32,2309.36,179.23,1,105.71
2016-10-09,80.32,2309.36,179.23,1,105.71
2016-10-10,80.7,2312.89,179.32,1,102.18
2016-10-11,81.15,2314.02,179.59,1,102.21
2016-10-12,81.16,2315.15,179.68,1,102.27
2016-10-13,80.53,2316.28,179.77,1,102.26
2016-10-14,80.56,2317.41,179.85,1,102.21
2016-10-15,80.56,2317.41,179.85,1,102.21
2016-10-16,80.56,2317.41,179.85,1,102.21
2016-10-17,79.7,2320.78,179.94,1,101.99
2016-10-18,79.44,2321.91,180.16,1,102.08
2016-10-19,79.23,2322.91,180.29,1,102.21
2016-10-20,79.7,2324.07,180.38,1,102.34
2016-10-21,79.7,2325.24,180.46,1,102.28
2016-10-22,79.7,2325.24,180.46,1,102.28
2016-10-23,79.7,2325.24,180.46,1,102.28
2016-10-24,79.67,2328.73,180.51,1,102.35
2016-10-25,78.79,2329.91,180.78,1,102.42
2016-10-26,78.84,2331.14,180.87,1,102.45
2016-10-27,79.18,2332.32,180.96,1,102.4
2016-10-28,79.34,2333.5,181.05,1,102.41
2016-10-29,79.34,2333.5,181.05,1,102.41
2016-10-30,79.34,2333.5,181.05,1,102.41
2016-10-31,79.01,2337.06,181.14,1,102.51
2016-11-01,79.09,2338.52,181.41,1,102.46
2016-11-02,78.94,2339.84,181.5,1,102.39
2016-11-03,78.54,2340.74,181.59,1,102.32
2016-11-04,78.25,2341.92,181.68,1,102.33
2016-11-05,78.25,2341.92,181.68,1,102.33
2016-11-06,78.25,2341.92,181.68,1,102.33
2016-11-07,77.89,2345.45,181.77,1,102.34
2016-11-08,76.79,2346.62,182.06,1,102.44
2016-11-09,76.1,2347.8,182.15,1,102.43
2016-11-10,76.32,2348.98,182.24,1,102.17
2016-11-11,76.17,2350.15,182.33,1,102.18
2016-11-12,76.17,2350.15,182.33,1,102.18
2016-11-13,76.17,2350.15,182.33,1,102.18
2016-11-14,75.5,2353.68,182.42,1,102.11
2016-11-15,75.29,2354.86,182.69,1,102.01
2016-11-16,74.58,2356.04,182.77,1,102.02
2016-11-17,74.46,2357.22,182.87,1,102.03
2016-11-18,74.27,2358.4,182.96,1,101.9
2016-11-21,74.12,2361.95,183.05,1,101.88
2016-11-22,73.98,2363.13,183.33,1,101.96
2016-11-23,74.15,2364.31,183.42,1,102.03
2016-11-24,74.06,2365.49,183.51,1,102.18
2016-11-25,73.71,2366.67,183.6,1,102.29
2016-11-28,73.66,2370.2,183.69,1,102.35
2016-11-29,73.58,2371.37,183.98,1,102.49
2016-11-30,74.03,2372.55,184.07,1,102.03
2016-12-01,74.11,2373.78,184.15,1,102.18
2016-12-02,75.34,2374.95,184.24,1,102.99
2016-12-05,75.38,2378.48,184.33,1,103.34
2016-12-06,75.29,2379.66,184.61,1,103.91
2016-12-07,75.33,2380.84,184.69,1,104.03
2016-12-08,75.4,2381.89,184.79,1,104
2016-12-09,75.72,2383.12,184.88,1,103.98
2016-12-10,75.72,2383.12,184.88,1,103.98
2016-12-11,75.72,2383.12,184.88,1,103.98
2016-12-12,75.72,2383.12,184.88,1,103.98
2016-12-13,76.45,2387.78,184.97,1,104.1
2016-12-14,77.41,2388.96,185.34,1,104.14
2016-12-15,77.97,2390.1,185.43,1,104.29
2016-12-16,78.03,2391.23,185.52,1,104.21
